town,price_psm_median,price_psm_mean,rental_yield_pct_mean,price_growth_yoy,mom_change_pct_mean,investor_score,investor_rank,value_score,value_rank,momentum_score,momentum_rank,affordability_score,affordability_rank,liquidity_score,liquidity_rank,price_psm_count,market_activity_score
Condo - UPPER PAYA LEBAR ROAD,16967.84,16653.8,,,,,,0.5807522236686029,122.0,,,0.5807522236686029,126.0,0.0050933786078098476,122.0,164,
Condo - UPPER SERANGOON CRESCENT,11942.29,12114.02,,,,,,0.7515609014992132,42.0,,,0.7515609014992132,54.0,0.001212709192335678,180.0,116,
Condo - UPPER SERANGOON ROAD,15853.66,15750.08,,,,,,0.61862103656775,108.0,,,0.61862103656775,113.0,0.003880669415474169,132.0,149,
Condo - UPPER SERANGOON VIEW,13125.0,12602.93,,,,,,0.7113628870814795,62.0,,,0.7113628870814795,71.0,0.015765219500363813,77.0,296,
Condo - WEST COAST CRESCENT,13571.43,13320.15,,,,,,0.6961895989749202,79.0,,,0.6961895989749202,85.0,0.006952866036057887,108.5,187,
Condo - WEST COAST VALE,16392.71,16492.4,,,,,,0.6002997746591847,114.0,,,0.6002997746591847,118.0,0.019645888915837982,68.5,344,
Condo - WHAMPOA EAST,16483.52,16323.22,,,,,,0.5972133192396192,115.0,,,0.5972133192396192,119.0,0.0035572802975179884,138.0,145,
Condo - YIO CHU KANG ROAD,11681.42,12354.17,,,,,,0.7604273658236496,37.0,,,0.7604273658236496,49.0,0.006952866036057887,108.5,187,
Condo - YISHUN CLOSE,12606.63,12574.18,,,,,,0.7289812759796208,53.0,,,0.7289812759796208,63.0,0.0005659309564233164,191.5,108,
EC - ANCHORVALE CRESCENT,13505.38,13772.67,,,,,,0.6984345101131464,75.0,,,0.6984345101131464,81.0,0.07793677742743957,25.0,1065,
EC - BUKIT BATOK WEST AVENUE 5,16370.38,16297.28,,,,,,0.6010587279629939,113.0,,,0.6010587279629939,117.0,0.03322823186999758,43.0,512,
EC - BUKIT BATOK WEST AVENUE 8,15937.5,15895.61,,,,,,0.6157714779026651,110.0,,,0.6157714779026651,114.0,0.02085859810817366,64.0,359,
EC - CANBERRA CRESCENT,12634.15,12721.34,,,,,,0.7280459246620737,55.0,,,0.7280459246620737,65.0,0.025224351200582102,58.0,413,
EC - CANBERRA DRIVE,14130.43,13602.92,,,,,,0.6771902753372465,86.0,,,0.6771902753372465,92.0,0.05246988438839033,28.0,750,
EC - CHOA CHU KANG AVENUE 3,14606.74,14276.51,,,,,,0.6610014240995714,93.0,,,0.6610014240995714,98.0,0.010833535451532057,91.0,235,
