Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
GRAND CHATEAU,"1,388,888","1,194.8","1,162",Apr-21,JALAN RAJAWALI,Resale,Strata,111,"12,513",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
MAYSPRINGS,"1,090,000","1,313.21",830,Apr-21,PETIR ROAD,Resale,Strata,122,"8,934",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,11 to 15
SELETAR PARK RESIDENCE,"1,055,000",839.59,"1,257",Apr-21,SELETAR ROAD,Resale,Strata,78,"13,526",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
GOODWOOD RESIDENCE,"7,150,000","2,927.81","2,442",Apr-21,BUKIT TIMAH ROAD,Resale,Strata,272,"26,287",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
ONE JERVOIS,"1,860,000",990.29,"1,878",Apr-21,JERVOIS CLOSE,Resale,Strata,92,"20,217",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
LINCOLN SUITES,"1,100,000",473.62,"2,323",Apr-21,KHIANG GUAN AVENUE,Resale,Strata,44,"25,000",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
THE SEA VIEW,"2,820,000","1,410.08","2,000",Apr-21,AMBER ROAD,Resale,Strata,131,"21,527",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
GAIA,"1,342,000",914.94,"1,467",Apr-21,JALAN DUSUN,Resale,Strata,85,"15,788",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
THE LEVELZ,"1,310,000",785.77,"1,667",Apr-21,FARRER ROAD,Resale,Strata,73,"17,945",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
D'LEEDON,"2,880,000","1,797.59","1,602",Apr-21,LEEDON HEIGHTS,Resale,Strata,167,"17,246",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,16 to 20
AMBER RESIDENCES,"1,808,000","1,162.51","1,555",Apr-21,AMBER ROAD,Resale,Strata,108,"16,741",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
CASPIAN,"1,120,000","1,001.05","1,119",Apr-21,LAKESIDE DRIVE,Resale,Strata,93,"12,043",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,06 to 10
THE INFLORA,"808,000",818.06,988,Apr-21,FLORA DRIVE,Resale,Strata,76,"10,632",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
CASPIAN,"1,830,000","1,593.07","1,149",Apr-21,LAKESIDE DRIVE,Resale,Strata,148,"12,365",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"918,000","1,011.82",907,Apr-21,FLORA DRIVE,Resale,Strata,94,"9,766",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
SPOTTISWOODE SUITES,"1,238,000",581.26,"2,130",Apr-21,SPOTTISWOODE PARK ROAD,Resale,Strata,54,"22,926",-,Apartment,1,Freehold,02,Rest of Central Region,16 to 20
