Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
OTTO PLACE,"1,449,000",871.88,"1,662",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"17,889",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
1 CANBERRA,"1,320,000",968.76,"1,363",Dec-25,CANBERRA DRIVE,Resale,Strata,90,"14,667",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
AUSTVILLE RESIDENCES,"1,650,000","1,227.1","1,345",Dec-25,SENGKANG EAST AVENUE,Resale,Strata,114,"14,474",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE TERRACE,"1,670,000","1,076.4","1,551",Dec-25,EDGEDALE PLAINS,Resale,Strata,100,"16,700",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
1 CANBERRA,"1,530,000","1,280.92","1,194",Dec-25,CANBERRA DRIVE,Resale,Strata,119,"12,857",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,01 to 05
LILYDALE,"1,168,000","1,194.8",978,Dec-25,YISHUN AVENUE 6,Resale,Strata,111,"10,523",-,Executive Condominium,1,99 yrs lease commencing from 2000,27,Outside Central Region,06 to 10
THE VALES,"1,725,000","1,033.34","1,669",Dec-25,ANCHORVALE CRESCENT,Resale,Strata,96,"17,969",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
OTTO PLACE,"1,525,000",904.18,"1,687",Dec-25,PLANTATION CLOSE,New Sale,Strata,84,"18,155",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
OTTO PLACE,"1,449,000",871.88,"1,662",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"17,889",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
THE VISIONAIRE,"1,497,771",979.52,"1,529",Dec-25,CANBERRA DRIVE,Resale,Strata,91,"16,459",-,Executive Condominium,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
RIVERCOVE RESIDENCES,"1,440,000",904.18,"1,593",Dec-25,ANCHORVALE LANE,Resale,Strata,84,"17,143",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,11 to 15
RIVERPARC RESIDENCE,"1,540,000","1,076.4","1,431",Dec-25,PUNGGOL DRIVE,Resale,Strata,100,"15,400",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE TAMPINES TRILLIANT,"2,870,000","2,120.51","1,353",Dec-25,TAMPINES CENTRAL 7,Resale,Strata,197,"14,569",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15
OTTO PLACE,"1,577,000",904.18,"1,744",Dec-25,PLANTATION CLOSE,New Sale,Strata,84,"18,774",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
LUSH ACRES,"1,910,000","1,345.5","1,420",Dec-25,FERNVALE CLOSE,Resale,Strata,125,"15,280",-,Executive Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15
TREASURE CREST,"1,640,000","1,076.4","1,524",Dec-25,ANCHORVALE CRESCENT,Resale,Strata,100,"16,400",-,Executive Condominium,1,99 yrs lease commencing from 2015,19,Outside Central Region,01 to 05
THE VALES,"1,450,000",914.94,"1,585",Dec-25,ANCHORVALE CRESCENT,Resale,Strata,85,"17,059",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,01 to 05
SEA HORIZON,"1,420,000","1,162.51","1,221",Dec-25,PASIR RIS RISE,Resale,Strata,108,"13,148",-,Executive Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
OTTO PLACE,"1,577,000",904.18,"1,744",Dec-25,PLANTATION CLOSE,New Sale,Strata,84,"18,774",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
BELLEWOODS,"1,700,000","1,259.39","1,350",Dec-25,WOODLANDS AVENUE 5,Resale,Strata,117,"14,530",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
PARC LIFE,"1,430,000","1,054.87","1,356",Dec-25,SEMBAWANG CRESCENT,Resale,Strata,98,"14,592",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
SIMEI GREEN CONDOMINIUM,"1,411,919","1,248.62","1,131",Dec-25,SIMEI STREET 4,Resale,Strata,116,"12,172",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
