Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVERFRONT RESIDENCES,"705,000",462.85,"1,523",Apr-23,HOUGANG AVENUE 7,Sub Sale,Strata,43,"16,395",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
PARC SEABREEZE,"3,480,000","1,614.6","2,155",Apr-23,JOO CHIAT ROAD,Resale,Strata,150,"23,200",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
NV RESIDENCES,"650,000",495.14,"1,313",Apr-23,PASIR RIS GROVE,Resale,Strata,46,"14,130",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
ICON,"1,340,000",785.77,"1,705",Apr-23,GOPENG STREET,Resale,Strata,73,"18,356",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,11 to 15
CASPIAN,"1,260,000","1,001.05","1,259",Apr-23,LAKESIDE DRIVE,Resale,Strata,93,"13,548",-,Condominium,1,99 yrs lease commencing from 2008,22,Outside Central Region,01 to 05
THE TRE VER,"2,288,888","1,108.69","2,064",Apr-23,POTONG PASIR AVENUE 1,Sub Sale,Strata,103,"22,222",-,Condominium,1,99 yrs lease commencing from 2018,13,Rest of Central Region,06 to 10
BIRMINGHAM MANSIONS,"2,950,000","1,711.48","1,724",Apr-23,THOMSON ROAD,Resale,Strata,159,"18,553",-,Apartment,1,Freehold,11,Core Central Region,11 to 15
SIMS URBAN OASIS,"1,798,000","1,022.58","1,758",Apr-23,SIMS DRIVE,Resale,Strata,95,"18,926",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
SKY EVERTON,"1,700,000",678.13,"2,507",Apr-23,EVERTON ROAD,Sub Sale,Strata,63,"26,984",-,Apartment,1,Freehold,02,Rest of Central Region,06 to 10
BARTLEY RIDGE,"1,260,000",721.19,"1,747",Apr-23,MOUNT VERNON ROAD,Resale,Strata,67,"18,806",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,16 to 20
KOVAN RESIDENCES,"2,000,000","1,280.92","1,561",Apr-23,KOVAN ROAD,Resale,Strata,119,"16,807",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15
THE TRILINQ,"880,000",538.2,"1,635",Apr-23,JALAN LEMPENG,Resale,Strata,50,"17,600",-,Condominium,1,99 yrs lease commencing from 2012,05,Outside Central Region,06 to 10
NORTHVALE,"980,000","1,087.16",901,Apr-23,CHOA CHU KANG LOOP,Resale,Strata,101,"9,703",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
PARC CENTROS,"715,000",473.62,"1,510",Apr-23,PUNGGOL CENTRAL,Resale,Strata,44,"16,250",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
PARC ESTA,"1,600,000",742.72,"2,154",Apr-23,SIMS AVENUE,Sub Sale,Strata,69,"23,188",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,16 to 20
THE ANCHORAGE,"3,128,000","1,829.88","1,709",Apr-23,ALEXANDRA ROAD,Resale,Strata,170,"18,400",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
